timestamp,user_segment,device,browser,country,traffic_source,session_duration,pages,load_time_ms,scroll_pct,conversion,bounce,engagement_score
2024-01-01 00:00:00,New,Mobile,Firefox,UK,Social,627.5557638769474,12,1902.0997863276204,96.9678737550002,1,0,0.6117525975367413
2024-01-01 00:01:00,Returning,Desktop,Firefox,UK,Referral,913.3357084629662,8,2303.0634263319407,68.18182712814905,1,0,0.23683873001011133
2024-01-01 00:02:00,Returning,Mobile,Chrome,India,Ads,302.45015495921047,4,2496.144043976244,50.37559301830151,0,0,0.08072545835625011
2024-01-01 00:03:00,Returning,Tablet,Firefox,India,Organic,114.70742048410733,3,2393.3682910595912,35.290031715631734,0,0,0.044234769693562055
2024-01-01 00:04:00,Returning,Tablet,Safari,USA,Referral,58.65227268302098,7,2552.75078737994,84.06754854419945,0,0,0.23052498611248515
2024-01-01 00:05:00,Premium,Tablet,Firefox,USA,Social,152.2110442990982,1,2144.568926584384,66.57175701683187,0,0,0.03104202256761199
2024-01-01 00:06:00,Returning,Desktop,Safari,Pakistan,Organic,154.56199665739445,10,2291.374217139032,43.57991432958718,1,0,0.19019117001325198
2024-01-01 00:07:00,Premium,Desktop,Edge,UK,Ads,303.2507885962825,9,2862.2948342659156,58.86719932136025,1,0,0.1850979107916113
2024-01-01 00:08:00,New,Tablet,Firefox,USA,Social,195.28654353406102,5,3038.046957994276,85.73986213406624,0,0,0.14111016603685392
2024-01-01 00:09:00,New,Tablet,Safari,India,Referral,74.56649919450611,6,2451.2129197024688,25.035954850049464,0,0,0.061282203554365304
2024-01-01 00:10:00,New,Tablet,Edge,UK,Social,311.7051550701052,9,2618.9138387768976,42.33208079760464,1,0,0.1454758539732539
2024-01-01 00:11:00,New,Tablet,Edge,India,Referral,283.76397779068884,4,3458.1781397798227,13.751964988980596,0,0,0.01590660102877889
2024-01-01 00:12:00,Returning,Mobile,Firefox,UK,Ads,92.81749324340954,5,2178.561055228757,10.025903601136129,0,0,0.02301038012469972
2024-01-01 00:13:00,Premium,Desktop,Firefox,India,Ads,234.25584109060952,9,1744.6513318324544,64.42101630659806,1,0,0.332323792256195
2024-01-01 00:14:00,Returning,Tablet,Firefox,Pakistan,Organic,204.80495968608054,5,2252.688735838787,69.99139445300102,0,0,0.15535078890279924
2024-01-01 00:15:00,Premium,Mobile,Chrome,India,Organic,203.2995055997563,2,2073.4980036125116,79.1793910385234,0,0,0.07637276804759363
2024-01-01 00:16:00,Returning,Tablet,Safari,USA,Ads,286.30653599410056,4,2643.4729431829346,52.25263969117533,0,0,0.07906665332198837
2024-01-01 00:17:00,New,Tablet,Safari,India,Social,277.5110034092562,2,3231.743107808643,21.374625259332944,0,0,0.013227923474292792
