date,open,close,volume,daily_return
2024-01-01,124.62897625185295,119.82886041755688,141161,-0.03851524724551927
2024-01-02,136.95471668705326,123.92594380384232,192089,-0.09513197645454001
2024-01-03,143.11436940034756,133.48612401485568,106025,-0.06727658044286151
2024-01-04,150.8384035432094,158.93195607355324,91888,0.05365710813841474
2024-01-05,175.2904934606342,166.92787609572213,112330,-0.04770719278504456
2024-01-06,175.14175993342963,169.0211120106162,117882,-0.03494682207795469
2024-01-07,176.83716986625998,176.94035995186226,104324,0.0005835316505026644
2024-01-08,116.8989931210217,124.02544453383834,190276,0.06096247044180144
2024-01-09,167.51668489947394,158.98295052834138,109373,-0.05094259342735696
2024-01-10,139.58674643227454,136.67884803359664,81843,-0.020832195555820703
2024-01-11,159.7906229267392,169.04852635324306,92588,0.05793771409695572
2024-01-12,161.86669206367733,162.5983703347305,128913,0.004520252200899566
2024-01-13,188.7199557150191,190.63183605841198,67530,0.010130779949312616
2024-01-14,172.0933025665959,186.52359539370698,2755,0.08385156546999799
2024-01-15,123.16300785158717,118.49770068499956,73185,-0.03787912659789341
2024-01-16,117.19267976356844,116.9264747769651,196488,-0.0022715154832230076
2024-01-17,115.51868285797133,114.21669035523914,88747,-0.011270839231546405
2024-01-18,121.23801789500172,118.06153544636027,26571,-0.026200382551556115
2024-01-19,190.58520317475455,198.85336500566984,32486,0.04338302078642437
2024-01-20,199.95686007974604,199.2508068681415,59664,-0.0035310276992895134
2024-01-21,175.37901047519546,173.8643838488667,195359,-0.008636305007223018
2024-01-22,127.70406274405343,129.9727303661853,97883,0.01776503874178818
2024-01-23,122.36034536152387,113.69541988620605,173772,-0.07081481708568711
2024-01-24,180.86869884712166,186.54320101668617,123637,0.031373599775607657
2024-01-25,128.82631097553235,143.78797383936183,164714,0.11613825429396255
2024-01-26,180.20962173342065,182.01956344716137,136062,0.01004353539134623
2024-01-27,149.54880598176194,159.89261630706895,159262,0.06916678643738869
2024-01-28,135.87276920070946,139.46438105651424,86133,0.026433639918674978
2024-01-29,159.91919285733655,166.86392100469197,45684,0.04342648323363407
2024-01-30,198.70972440787588,191.21693956931793,135623,-0.03770718751125687
2024-01-31,154.54956725198895,148.428732861287,101660,-0.03960434506246207
2024-02-01,144.07936598407838,148.95714483814913,73553,0.03385480509825243
2024-02-02,151.76579440296484,156.01101725610522,31407,0.027972198016297162
2024-02-03,165.03300530868705,165.35978509312125,20299,0.0019800874608261955
2024-02-04,123.08996608691075,124.92233474108181,66521,0.014886417735116387
2024-02-05,129.36472213067174,134.2197771069946,129719,0.03752997646003332
2024-02-06,174.6662228021725,172.29826636183756,102073,-0.013557036972265122
2024-02-07,106.57001210436148,106.33970657124719,133768,-0.00216107259975496
2024-02-08,102.43417933471348,100.50060892941872,110692,-0.018876222935087252
2024-02-09,165.67200184687147,168.5735433063072,127573,0.01751377074635446
2024-02-10,167.71108976142494,162.5821179828263,58758,-0.030582186222120354
2024-02-11,193.36702794803693,195.01759151018152,162231,0.00853591007556953
2024-02-12,148.20318370533658,152.3637654468627,72939,0.028073497731319553
2024-02-13,158.34960127088527,164.7097923162822,97401,0.04016550085602482
2024-02-14,134.41446035152543,142.44830291940332,169116,0.05976918366422403
2024-02-15,173.35468335879023,175.28349017525224,167817,0.01112636116366112
2024-02-16,161.8582036438,171.71010975955963,40740,0.06086751177246861
2024-02-17,176.2476763492529,175.17178160470922,161934,-0.006104447824955676
2024-02-18,108.94046481775294,112.65909994827453,27497,0.034134562733347196
2024-02-19,143.17703790967667,135.41063898660727,33817,-0.05424332725732768
2024-02-20,124.02581648959088,125.04053943020777,113501,0.008181546143677712
2024-02-21,156.38857840942669,158.57284715609995,92132,0.013966932680689976
2024-02-22,129.7914985016249,132.02505367409012,56116,0.01720879409091088
2024-02-23,169.48412235987809,165.5879143145218,53186,-0.022988631566815267
2024-02-24,137.43680070919106,127.12570657672624,86647,-0.07502425899946945
2024-02-25,120.47187773779069,117.20025667176533,55387,-0.027156720119745337
2024-02-26,195.09633578300276,194.1643050586474,156131,-0.004777284620004494
