ship_date,region,distance,cost,delivery_hours,late,cost_per_km
2024-01-01 00:00:00,West,657.1672232561436,45.533694254331564,34.927114669411125,0,0.06928783518557183
2024-01-01 01:00:00,West,1891.0591329524611,82.4225337391353,37.32758218681535,0,0.04358538149489337
2024-01-01 02:00:00,West,1531.6186299259023,264.0040005881576,63.474151415078666,1,0.17236928007393706
2024-01-01 03:00:00,North,1057.8359158888843,31.230534141898204,63.56973483612991,1,0.029523041969751647
2024-01-01 04:00:00,West,1860.7178075248423,298.7235278760082,46.66833673899143,0,0.1605420911585595
2024-01-01 05:00:00,South,1089.5639170052443,301.79801413065627,18.616074309774568,0,0.27698972902863084
2024-01-01 06:00:00,North,876.8443076865991,34.458368839130465,19.341834904001473,0,0.0392981610726799
2024-01-01 07:00:00,North,836.1107154399218,62.27726497101708,39.60257747531943,0,0.07448447175832418
2024-01-01 08:00:00,East,760.9308226793756,74.46363473009868,60.975774745438784,1,0.09785861278151238
2024-01-01 09:00:00,West,435.2713176283297,248.93795958151324,14.294915958485932,0,0.571914457717788
2024-01-01 10:00:00,East,1044.8983485321448,93.73055292748572,2.773979666237603,0,0.0897030348063587
2024-01-01 11:00:00,East,1665.9956027019464,313.8127409823155,14.624090699091887,0,0.18836348695840943
2024-01-01 12:00:00,East,373.6572766653398,67.1808179409735,60.67876660771493,1,0.17979261247237247
2024-01-01 13:00:00,North,1742.4468843042143,330.99789994473707,44.91720485046375,0,0.18996154369256976
2024-01-01 14:00:00,West,23.26740101876152,71.41295482282541,13.774403004330686,0,3.0692278336219
2024-01-01 15:00:00,North,874.4717818617802,208.50823735619284,32.80396019349929,0,0.23843906879679033
2024-01-01 16:00:00,East,730.855650586506,26.59025536173829,29.06074963021797,0,0.0363823627010338
2024-01-01 17:00:00,South,388.81583955505414,201.89045614997517,71.83695468994239,1,0.5192444227092466
2024-01-01 18:00:00,West,959.303751284693,270.7438541619317,10.958708659203438,0,0.2822295376197095
