order_date,region,segment,category,sub_category,price,quantity,discount,shipping_days,revenue,profit,profit_margin
2024-06-04,East,Home Office,Tech,Paper,402.0584765443364,1,0.03584478028728053,2,387.6467787899659,73.69265714953491,0.19010259128056095
2024-01-30,North,Corporate,Furniture,Paper,222.38253826626413,2,0.03112951121406997,8,430.9197570949823,85.4366495922432,0.19826579818063775
2024-02-10,East,Corporate,Office,Laptop,426.72990777866653,3,0.25216132701151417,7,957.3753838730908,254.62506625992555,0.26596157635663475
2024-05-26,West,Corporate,Office,Paper,123.75200471431617,1,0.013076690903100563,7,122.13373800002802,35.50896796573992,0.29073840322263594
2024-01-08,East,Consumer,Office,Paper,45.35139891330479,1,0.034761657205071204,5,43.77490913051005,10.388471460833873,0.23731566020758132
2024-05-17,East,Corporate,Office,Laptop,77.5540080463808,5,0.004033982505692679,8,386.20578267337675,85.94806047407283,0.22254472700829836
2024-06-14,North,Corporate,Office,Phone,83.35941863871571,3,0.02510227441378471,2,243.8007229112193,44.85566743396721,0.18398496484483978
2024-05-27,East,Corporate,Furniture,Laptop,325.20571881454174,1,0.09201822700615488,6,295.28086515696543,46.20675644258389,0.1564840864917586
2024-06-11,North,Home Office,Office,Paper,175.06450459609997,4,0.11658448786776406,7,618.6187959357593,149.42310091255078,0.24154309874552807
2024-01-22,East,Consumer,Tech,Laptop,408.1071930106736,3,0.16160901882054773,9,1026.4601699238322,259.43064931682227,0.2527430259043302
2024-02-17,East,Consumer,Tech,Paper,249.40638841032805,1,0.23705357200607968,1,190.28371315652407,47.809297545163425,0.25125270445945275
2024-05-16,East,Home Office,Office,Chair,100.85976774269953,4,0.166094000913047,3,336.4302615486156,95.39530252277923,0.2835514917227332
2024-05-22,East,Corporate,Tech,Paper,483.1180550393694,2,0.09900071327005851,5,870.5780459936568,160.1634359738744,0.18397366750854338
2024-03-11,North,Corporate,Office,Chair,292.5204996593069,4,0.20688867042360484,1,928.0052896525774,206.8498891723458,0.22289731694286502
2024-02-18,East,Corporate,Furniture,Chair,275.1118314683076,5,0.2924489050037054,5,973.2783880091856,231.8256271147669,0.23819046017138004
2024-05-11,East,Corporate,Office,Chair,79.37526831745912,5,0.1443623901260466,2,339.58232433127233,110.31672529099968,0.3248600335963969
2024-04-29,West,Corporate,Furniture,Laptop,138.2471206860653,4,0.008299411444087579,5,548.3990038021249,82.30560083866007,0.1500834251485217
2024-06-14,North,Consumer,Office,Laptop,32.38206479221869,2,0.24178874237580295,6,49.10489214115274,8.129957930668006,0.16556309516571835
2024-02-20,South,Corporate,Office,Laptop,318.8854792464611,4,0.005048884141514964,6,1269.101853629337,251.76390458428995,0.19837958936416614
2024-02-18,North,Home Office,Office,Chair,161.58010826105766,4,0.13049133080219874,1,561.9812196116355,122.71628183853737,0.21836367045030802
2024-06-16,South,Home Office,Furniture,Paper,363.1366983946351,5,0.09914736161991973,6,1635.6632642071922,277.7410953103717,0.16980334607257508
2024-03-23,North,Consumer,Tech,Laptop,130.18276196654432,4,0.07968133294570769,8,479.2385038659852,97.40418795236168,0.20324783415065475
2024-04-22,South,Consumer,Tech,Laptop,337.7008546105033,3,0.11899337799531408,2,892.5500675054853,136.54772180079186,0.1529860640562359
2024-02-09,East,Consumer,Tech,Paper,240.8282300863809,4,0.17127542392617542,9,798.321091539782,245.37504894010968,0.3073638558976769
2024-04-29,East,Consumer,Office,Laptop,52.78542552268503,4,0.1952838834228385,1,169.90913055395234,30.71009009463045,0.1807442012945789
2024-04-29,North,Consumer,Furniture,Phone,435.0108453414661,3,0.08500292025818856,9,1194.1009594303748,210.8746290703073,0.17659698487379275
2024-03-06,East,Consumer,Office,Phone,411.2737805070436,3,0.24926905988282513,6,926.2678556567924,289.7804297162836,0.31284733454429103
2024-03-16,South,Home Office,Office,Paper,453.22583225113743,2,0.08383807771705616,2,830.4564994069782,154.5948243862951,0.1861564386535477
2024-06-10,North,Home Office,Furniture,Laptop,125.40009430693337,5,0.19853301441504553,6,502.5201778812345,160.38011536057783,0.3191515931495233
2024-05-20,East,Corporate,Office,Chair,160.98070540351353,5,0.04090189617385779,3,771.9814465255232,191.31328232560085,0.24782108842984435
2024-01-16,East,Home Office,Office,Chair,251.8531057443773,2,0.0820630157942814,7,462.37056069967525,74.83499869364786,0.16185069953503298
2024-04-02,South,Home Office,Furniture,Chair,247.42274541245675,1,0.25459218343699574,7,184.43084842592347,38.42628819381097,0.20835065566184208
2024-01-30,South,Home Office,Office,Chair,305.4755361710887,2,0.2385120905454719,9,465.2318548568469,155.90800493157866,0.33511893758769373
2024-02-13,North,Consumer,Office,Laptop,50.01595574260955,2,0.08180369378875944,4,91.84893162897795,24.785376741279915,0.2698493744205973
2024-06-27,East,Home Office,Tech,Phone,132.01349852824336,2,0.2404897500344839,6,200.53121053201681,69.0519423242673,0.34434511286831565
2024-03-04,South,Corporate,Furniture,Chair,457.98513287095955,2,0.02686677086861575,3,891.3611024897658,227.76856586759075,0.25552894918948504
2024-05-06,East,Home Office,Furniture,Laptop,437.28718885571254,1,0.23063567162194776,9,336.4331643623018,60.772086155196384,0.18063643122219508
2024-04-23,East,Corporate,Office,Phone,236.14814197103823,1,0.2504259750122245,8,177.01051327061575,58.987691608061475,0.333244000698876
2024-03-07,East,Corporate,Furniture,Phone,26.622956262431217,4,0.1356784901201424,8,92.04317501683984,30.475241851788446,0.3310972469845029
2024-06-12,North,Corporate,Office,Phone,104.67157794829399,3,0.1367157877896229,2,271.08396212973014,80.55090135696415,0.2971437362953093
2024-02-06,West,Consumer,Tech,Paper,480.782914335104,2,0.12456818558174189,1,841.7853180753561,144.7580546779576,0.17196552561516515
2024-02-05,North,Consumer,Furniture,Phone,279.5653643505878,2,0.2571718139563755,8,415.3380649623442,68.11456791589961,0.16399789391341985
2024-05-09,South,Consumer,Tech,Laptop,486.28509476375206,3,0.0698856556125327,4,1356.9022263047539,308.15485682335014,0.22710174016188844
